,Score,,,,Score,Date,,,Time,Field
A,4,CORONA - GOLD,VS,JURUPA,2,"Thursday, June 19",,,5:00 PM,6
B,20,CORONA - BLUE,VS,PERRIS,5,"Thursday, June 19",,,7:00 PM,6
C,4,HIGH DESERT - BLACK,VS,CORONA - BLUE,2,"Friday, June 20",,,5:00 PM,6
D,0,PERRIS,VS,CORONA - GOLD,24,"Friday, June 20",,,7:00 PM,6
E,7,JURUPA,VS,HIGH DESERT - BLACK,0,"Saturday, June 21",,,9:30 AM,6
F,14,CORONA BLUE,VS,PERRIS,1,"Saturday, June 21",,,1:00 PM,6
G,5,JURUPA,VS,HIGH DESERT BLACK,1,"Saturday, June 21",,,3:30 PM,6
H,13,CORONA GOLD,VS,CORONA BLUE,8,"Sunday, June 22",,,9:00 AM,6
I,0,CORONA GOLD,VS,JURUPA,10,,,,,
