,Score,,,,Score,Date,,,Time,Field
A,5,REDLANDS - RED,VS,MURRIETA,6,"Thursday, June 19",,,5:00 PM,4
B,3,RIALTO - BLACK,VS,MENIFEE - MAROON,13,"Thursday, June 19",,,7:00 PM,4
C,2,BEAUMONT - WHITE,VS,REDLANDS - RED,15,"Friday, June 20",,,5:00 PM,4
D,14,MURRIETA,VS,RIALTO - BLACK,0,"Friday, June 20",,,7:00 PM,4
E,15,MENIFEE - MAROON,VS,BEAUMONT - WHITE,14,"Saturday, June 21",,,9:30 AM,4
F,8,Rialto - Black,VS,Beaumont - White,11,"Saturday, June 21",,,1:00 PM,4
G,9,Menifee - Maroon,VS,Redlands - Red,22,"Saturday, June 21",,,3:30 PM,4
H,11,Murrieta,VS,Beaumont - White,7,"Sunday, June 22",,,9:00 AM,4
I,10,Murrieta,VS,Redlands - Red,12,"Sunday, June 22",,,11:30 AM,4
