,Score,,,,Score,Date,,,Time,Field
A,16,CHINO HILLS - BLACK,VS,COLTON,1,"Thursday, June 19",,,5:00 PM,4
B,18,CHINO HILLS - RED,VS,MORENO VALLEY,3,"Thursday, June 19",,,7:00 PM,4
C,9,MENIFEE - GREY,VS,CHINO HILLS - RED,15,"Friday, June 20",,,5:00 PM,4
D,3,MORENO VALLEY,VS,CHINO HILLS - BLACK,13,"Friday, June 20",,,7:00 PM,4
E,1,COLTON,VS,MENIFEE - GREY,16,"Saturday, June 21",,,9:00 AM,4
F,12,MORENO VALLEY,VS,COLTON,2,"Saturday, June 21",,,1:00 PM,4
G,7,CHINO HILLS RED,VS,MENIFEE GREY,10,"Saturday, June 21",,,3:00 PM,4
H,8,CHINO HILLS BLACK,VS,MORENO VALLEY,7,"Sunday, June 22",,,9:30 AM,4
,3,CHINO HILLS BLACK,VS,MENIFEE GREY,11,"Sunday, June 22",,,11:30 AM,4
